,,,,mean,mean,mean,MG,inst_acc
InternVL 3.5 (8B),194.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),195.0,coarse perception,image style & quality,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),196.0,coarse perception,image emotion,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),197.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),198.0,coarse perception,image style & quality,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),199.0,coarse perception,image style & quality,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),200.0,coarse perception,image style & quality,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),201.0,coarse perception,image style & quality,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),202.0,coarse perception,image emotion,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),203.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),204.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),205.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),206.0,coarse perception,image emotion,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),207.0,coarse perception,image style & quality,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),208.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),209.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),210.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),211.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),212.0,coarse perception,image emotion,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),213.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),214.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),215.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),216.0,coarse perception,image style & quality,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),217.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),218.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),219.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),220.0,coarse perception,image emotion,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),221.0,coarse perception,image emotion,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),222.0,coarse perception,image style & quality,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),223.0,coarse perception,image emotion,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),224.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),225.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),226.0,coarse perception,image emotion,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),227.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),228.0,coarse perception,image style & quality,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),229.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),230.0,coarse perception,image style & quality,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),231.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),232.0,coarse perception,image style & quality,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),233.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),234.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),235.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),236.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),237.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),238.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),239.0,coarse perception,image style & quality,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),240.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),241.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),242.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),243.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),244.0,coarse perception,image style & quality,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),245.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),246.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),247.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),248.0,coarse perception,image emotion,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),249.0,coarse perception,image emotion,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),250.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),251.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),252.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),253.0,fine-grained perception,object counting,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),254.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),255.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),256.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),257.0,fine-grained perception,localization,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),258.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),259.0,fine-grained perception,localization,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (8B),260.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),261.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),262.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),263.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),264.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),265.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),266.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),267.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),268.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),269.0,fine-grained perception,recognition,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),270.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),271.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),272.0,fine-grained perception,recognition,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),273.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),274.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),275.0,fine-grained perception,recognition,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),276.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),277.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),278.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),279.0,fine-grained perception,localization,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (8B),280.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),281.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),282.0,fine-grained perception,recognition,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),283.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),284.0,fine-grained perception,localization,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),285.0,fine-grained perception,localization,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),286.0,fine-grained perception,localization,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),287.0,fine-grained perception,recognition,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),288.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),289.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),290.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),291.0,fine-grained perception,recognition,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),292.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),293.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),294.0,fine-grained perception,localization,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),295.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),296.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),297.0,fine-grained perception,object counting,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (8B),298.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),299.0,fine-grained perception,recognition,0.0,100.0,0.0,0.0,-100.0
InternVL 3.5 (8B),300.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),301.0,fine-grained perception,object counting,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),302.0,fine-grained perception,localization,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),303.0,fine-grained perception,object counting,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),304.0,fine-grained perception,recognition,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (8B),305.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),306.0,fine-grained perception,object counting,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),307.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),308.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),309.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),310.0,fine-grained perception,object counting,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),311.0,fine-grained perception,recognition,0.0,100.0,0.0,0.0,-100.0
InternVL 3.5 (8B),312.0,fine-grained perception,recognition,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),313.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),314.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),315.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),316.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),317.0,fine-grained perception,localization,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),318.0,fine-grained perception,object counting,0.0,100.0,0.0,0.0,-100.0
InternVL 3.5 (8B),319.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),320.0,fine-grained perception,localization,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),321.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),322.0,fine-grained perception,object counting,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),323.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),324.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),325.0,fine-grained perception,recognition,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),326.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),327.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),328.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),329.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),330.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),331.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),332.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),333.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),334.0,fine-grained perception,object counting,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),335.0,fine-grained perception,object counting,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (8B),336.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),337.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),338.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),339.0,fine-grained perception,recognition,0.0,100.0,0.0,0.0,-100.0
InternVL 3.5 (8B),340.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),341.0,fine-grained perception,object counting,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),342.0,fine-grained perception,recognition,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (8B),343.0,fine-grained perception,localization,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),344.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),345.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),346.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),347.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),348.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),349.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),350.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),351.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),352.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),353.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),354.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),355.0,fine-grained perception,recognition,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (8B),356.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),357.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),358.0,fine-grained perception,recognition,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),359.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),360.0,fine-grained perception,localization,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),361.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),362.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),363.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),364.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),365.0,fine-grained perception,object counting,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),366.0,fine-grained perception,localization,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),367.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),368.0,fine-grained perception,localization,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),369.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),370.0,fine-grained perception,recognition,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),371.0,fine-grained perception,localization,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),372.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),373.0,fine-grained perception,recognition,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),374.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),375.0,fine-grained perception,object counting,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),376.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),377.0,fine-grained perception,recognition,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),378.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),379.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),380.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),381.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),382.0,fine-grained perception,object counting,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),383.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),384.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),385.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),386.0,fine-grained perception,localization,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),387.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),388.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),389.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),390.0,fine-grained perception,localization,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),391.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),392.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),393.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),394.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),395.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),396.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),397.0,fine-grained perception,localization,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),398.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),399.0,fine-grained perception,recognition,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),400.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),401.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),402.0,fine-grained perception,recognition,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),403.0,fine-grained perception,object counting,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),404.0,fine-grained perception,object counting,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),405.0,fine-grained perception,localization,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),406.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),407.0,fine-grained perception,localization,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),408.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),409.0,fine-grained perception,localization,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),410.0,fine-grained perception,localization,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),411.0,fine-grained perception,localization,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),412.0,fine-grained perception,object counting,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (8B),413.0,fine-grained perception,recognition,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (8B),414.0,fine-grained perception,recognition,0.0,100.0,0.0,0.0,-100.0
InternVL 3.5 (8B),415.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),416.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),417.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),418.0,fine-grained perception,object counting,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),419.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),420.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),421.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),422.0,fine-grained perception,object counting,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),423.0,fine-grained perception,localization,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),424.0,fine-grained perception,recognition,0.0,100.0,0.0,0.0,-100.0
InternVL 3.5 (8B),425.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),426.0,fine-grained perception,localization,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),427.0,fine-grained perception,localization,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),428.0,fine-grained perception,object counting,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),429.0,fine-grained perception,localization,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),430.0,fine-grained perception,object counting,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),431.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),432.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),433.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),434.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),435.0,fine-grained perception,object counting,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),436.0,fine-grained perception,object counting,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),437.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),438.0,fine-grained perception,localization,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),439.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),440.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),441.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),442.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),443.0,fine-grained perception,localization,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),444.0,fine-grained perception,localization,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),445.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),446.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),447.0,fine-grained perception,object counting,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),448.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),449.0,fine-grained perception,localization,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),450.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),451.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),452.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),453.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),454.0,fine-grained perception,localization,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),455.0,fine-grained perception,object counting,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),456.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),457.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),458.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),459.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),460.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),461.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),462.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),463.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),464.0,fine-grained perception,localization,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),465.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),466.0,fine-grained perception,recognition,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),467.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),468.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),469.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),470.0,fine-grained perception,object counting,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (8B),471.0,fine-grained perception,object counting,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (8B),472.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),473.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),474.0,fine-grained perception,recognition,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (8B),475.0,fine-grained perception,recognition,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (8B),476.0,fine-grained perception,object counting,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (8B),477.0,fine-grained perception,object counting,100.0,0.0,0.0,100.0,0.0
