,,,,mean,mean,mean,MG
InternVL3_5-8B,507,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,508,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,509,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,510,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,511,instance reasoning,cross-instance attribute reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,512,instance reasoning,cross-instance attribute reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,513,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,514,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,515,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,516,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,517,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,518,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,519,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,520,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,521,instance reasoning,cross-instance attribute reasoning,0.0,1.0,1.0,-1.0
InternVL3_5-8B,522,instance reasoning,cross-instance attribute reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,523,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,524,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,525,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,526,instance reasoning,cross-instance attribute reasoning,0.0,0.0,1.0,-1.0
InternVL3_5-8B,527,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,528,instance reasoning,single-instance reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,529,instance reasoning,single-instance reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,530,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,531,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,532,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,533,instance reasoning,cross-instance relation reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,534,instance reasoning,cross-instance attribute reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,535,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,536,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,537,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,538,instance reasoning,single-instance reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,539,instance reasoning,cross-instance relation reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,540,instance reasoning,cross-instance relation reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,541,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,542,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,543,instance reasoning,cross-instance attribute reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,544,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,545,instance reasoning,single-instance reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,546,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,547,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,548,instance reasoning,cross-instance attribute reasoning,0.0,0.0,1.0,-1.0
InternVL3_5-8B,549,instance reasoning,single-instance reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,550,instance reasoning,cross-instance relation reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,551,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,552,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,553,instance reasoning,cross-instance relation reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,554,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,555,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,556,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,557,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,558,instance reasoning,single-instance reasoning,0.0,0.0,1.0,-1.0
InternVL3_5-8B,559,instance reasoning,cross-instance attribute reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,560,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,561,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,562,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,563,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,564,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,565,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,566,instance reasoning,cross-instance relation reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,567,instance reasoning,cross-instance relation reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,568,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,569,instance reasoning,single-instance reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,570,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,571,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,572,instance reasoning,cross-instance attribute reasoning,0.0,1.0,1.0,-1.0
InternVL3_5-8B,573,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,574,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,575,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,576,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,577,instance reasoning,cross-instance relation reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,578,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,579,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,580,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,581,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,582,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,583,instance reasoning,cross-instance relation reasoning,0.0,0.0,1.0,-1.0
InternVL3_5-8B,584,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,585,instance reasoning,single-instance reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,586,instance reasoning,single-instance reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,587,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,588,instance reasoning,single-instance reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,589,instance reasoning,cross-instance relation reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,590,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,591,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,592,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,593,instance reasoning,cross-instance relation reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,594,instance reasoning,single-instance reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,595,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,596,instance reasoning,cross-instance relation reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,597,instance reasoning,cross-instance relation reasoning,0.0,0.0,1.0,-1.0
InternVL3_5-8B,598,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,599,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,600,instance reasoning,cross-instance relation reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,601,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,602,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,603,instance reasoning,cross-instance attribute reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,604,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,605,instance reasoning,cross-instance attribute reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,606,instance reasoning,cross-instance attribute reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,607,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,608,instance reasoning,cross-instance attribute reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,609,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,610,instance reasoning,single-instance reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,611,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,612,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,613,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,614,instance reasoning,single-instance reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,615,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,616,instance reasoning,cross-instance attribute reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,617,instance reasoning,cross-instance relation reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,618,instance reasoning,single-instance reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,619,instance reasoning,cross-instance relation reasoning,0.0,1.0,1.0,-1.0
InternVL3_5-8B,620,instance reasoning,single-instance reasoning,0.0,0.0,1.0,-1.0
InternVL3_5-8B,621,instance reasoning,cross-instance relation reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,622,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,623,instance reasoning,cross-instance relation reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,624,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,625,instance reasoning,cross-instance relation reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,626,instance reasoning,single-instance reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,627,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,628,instance reasoning,single-instance reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,629,instance reasoning,cross-instance relation reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,630,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,631,instance reasoning,cross-instance relation reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,632,instance reasoning,cross-instance relation reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,633,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,634,instance reasoning,cross-instance relation reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,635,instance reasoning,cross-instance relation reasoning,0.0,0.0,1.0,-1.0
InternVL3_5-8B,636,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,637,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,638,instance reasoning,single-instance reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,639,instance reasoning,cross-instance attribute reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,640,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,641,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,642,instance reasoning,cross-instance relation reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,643,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,644,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,645,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,646,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,647,instance reasoning,cross-instance relation reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,648,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,649,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,650,instance reasoning,single-instance reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,651,instance reasoning,cross-instance relation reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,652,instance reasoning,cross-instance attribute reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,653,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,654,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,655,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,656,instance reasoning,single-instance reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,657,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,658,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,659,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,660,instance reasoning,cross-instance relation reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,661,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,662,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,663,instance reasoning,cross-instance relation reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,664,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,665,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,666,instance reasoning,cross-instance relation reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,667,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,668,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,669,instance reasoning,cross-instance attribute reasoning,0.0,0.0,1.0,-1.0
InternVL3_5-8B,670,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,671,instance reasoning,cross-instance relation reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,672,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,673,instance reasoning,cross-instance relation reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,674,instance reasoning,single-instance reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,675,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,676,instance reasoning,cross-instance relation reasoning,0.0,1.0,1.0,-1.0
InternVL3_5-8B,677,instance reasoning,cross-instance relation reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,678,instance reasoning,cross-instance relation reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,679,instance reasoning,cross-instance relation reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,680,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,681,instance reasoning,cross-instance attribute reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,682,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,683,instance reasoning,cross-instance attribute reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,684,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,685,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,686,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,687,instance reasoning,single-instance reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,688,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,689,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,690,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,691,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,692,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,693,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,694,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,695,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,696,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,697,instance reasoning,single-instance reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,698,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,699,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,700,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,701,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,702,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,703,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,704,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,705,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,706,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,707,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,708,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,709,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,710,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,711,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,712,instance reasoning,single-instance reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,713,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,714,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,715,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,716,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,717,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,718,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,719,instance reasoning,single-instance reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,720,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,721,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,722,instance reasoning,single-instance reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,723,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,724,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,725,instance reasoning,single-instance reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,726,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,727,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,728,instance reasoning,single-instance reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,729,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,730,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,731,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,732,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,733,instance reasoning,cross-instance attribute reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,734,instance reasoning,cross-instance relation reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,735,instance reasoning,cross-instance relation reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,736,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,737,instance reasoning,cross-instance relation reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,738,instance reasoning,single-instance reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,739,instance reasoning,single-instance reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,740,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,741,instance reasoning,cross-instance relation reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,742,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,743,instance reasoning,cross-instance attribute reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,744,instance reasoning,cross-instance attribute reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,745,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,746,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,747,instance reasoning,single-instance reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,748,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,749,instance reasoning,cross-instance attribute reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,750,logical reasoning,common reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,751,logical reasoning,diagram reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,752,logical reasoning,common reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,753,logical reasoning,diagram reasoning,0.0,0.0,1.0,-1.0
InternVL3_5-8B,754,logical reasoning,common reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,755,logical reasoning,common reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,756,logical reasoning,common reasoning,0.0,1.0,1.0,-1.0
InternVL3_5-8B,757,logical reasoning,common reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,758,logical reasoning,common reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,759,logical reasoning,common reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,760,logical reasoning,common reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,761,logical reasoning,diagram reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,762,logical reasoning,common reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,763,logical reasoning,common reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,764,logical reasoning,common reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,765,logical reasoning,diagram reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,766,logical reasoning,common reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,767,logical reasoning,common reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,768,logical reasoning,common reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,769,logical reasoning,common reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,770,logical reasoning,common reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,771,logical reasoning,diagram reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,772,logical reasoning,diagram reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,773,logical reasoning,diagram reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,774,logical reasoning,code & sequence reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,775,logical reasoning,code & sequence reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,776,logical reasoning,diagram reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,777,logical reasoning,code & sequence reasoning,0.0,0.0,1.0,-1.0
InternVL3_5-8B,778,logical reasoning,code & sequence reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,779,logical reasoning,common reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,780,logical reasoning,diagram reasoning,0.0,1.0,1.0,-1.0
InternVL3_5-8B,781,logical reasoning,code & sequence reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,782,logical reasoning,code & sequence reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,783,logical reasoning,code & sequence reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,784,logical reasoning,code & sequence reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,785,logical reasoning,code & sequence reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,786,logical reasoning,code & sequence reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,787,logical reasoning,code & sequence reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,788,logical reasoning,code & sequence reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,789,logical reasoning,diagram reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,790,logical reasoning,diagram reasoning,1.0,1.0,0.0,1.0
InternVL3_5-8B,791,logical reasoning,diagram reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,792,logical reasoning,code & sequence reasoning,0.0,1.0,0.0,0.0
InternVL3_5-8B,793,logical reasoning,diagram reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,794,logical reasoning,common reasoning,1.0,1.0,1.0,0.0
InternVL3_5-8B,795,logical reasoning,common reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,796,logical reasoning,common reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,797,logical reasoning,diagram reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,798,logical reasoning,common reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,799,logical reasoning,code & sequence reasoning,0.0,1.0,1.0,-1.0
InternVL3_5-8B,800,logical reasoning,code & sequence reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,801,logical reasoning,code & sequence reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,802,logical reasoning,diagram reasoning,1.0,0.0,1.0,0.0
InternVL3_5-8B,803,logical reasoning,diagram reasoning,0.0,0.0,0.0,0.0
InternVL3_5-8B,804,logical reasoning,diagram reasoning,0.0,0.0,1.0,-1.0
InternVL3_5-8B,805,logical reasoning,diagram reasoning,1.0,0.0,0.0,1.0
InternVL3_5-8B,806,logical reasoning,diagram reasoning,1.0,0.0,0.0,1.0
